name_en;name_en
Sarande;Albania
Vlore;Albania
Albania;Albania
Tirana;Albania
Vosendorf;Austria
Schwechat;Austria
Graz;Austria
Axams;Austria
Innsbruck;Austria
Carinthia;Austria
Vienna;Austria
Minsk;Belarus
Brugge;Belgium
Waterloo;Belgium
Mechelen;Belgium
Antwerpen;Belgium
Namur;Belgium
Edegem;Belgium
Brussels;Belgium
Genval;Belgium
Mostar;Bosnia and Herzegovina
Neum;Bosnia and Herzegovina
Sofia;Bulgaria
Nessebar;Bulgaria
Pomorie;Bulgaria
Burgas;Bulgaria
Plovdiv;Bulgaria
Bansko;Bulgaria
Varna;Bulgaria
Umag;Croatia
Trogir;Croatia
Makarska;Croatia
Split;Croatia
Opatija;Croatia
Sibenik;Croatia
Cavtat;Croatia
Korenica;Croatia
Rijeka;Croatia
Dubrovnik;Croatia
Rovinj;Croatia
Podstrana;Croatia
Pula;Croatia
Porec;Croatia
Omisali;Croatia
Paphos;Cyprus
Limassol;Cyprus
Kyrenia;Cyprus
Larnaca;Cyprus
Protaras;Cyprus
Nicosia;Cyprus
Kissonerga;Cyprus
Paralimni;Cyprus
Brno;Czech Republic
Prague;Czech Republic
Aarhus;Denmark
Billund;Denmark
Copenhagen;Denmark
Ronne;Denmark
Kastrup;Denmark
Tallinn;Estonia
Parnu;Estonia
Tartu;Estonia
Tampere;Finland
Helsinki;Finland
Espoo;Finland
Vantaa;Finland
Avignon;France
Chelles;France
Taverny;France
Perpignan;France
Malakoff;France
Besancon;France
Strasbourg;France
Mougins;France
Vannes;France
Antibes;France
Pontarlier;France
Perigueux;France
Bayeux;France
Emerainville;France
Colombes;France
Rungis;France
Gennevilliers;France
Bagnolet;France
Fontvieille;France
Argenteuil;France
Quimper;France
Metz;France
Villejust;France
Orleans;France
Nanterre;France
Bobigny;France
Menton;France
Orange;France
Mallemort;France
Massy;France
Roanne;France
Gaillard;France
Burgundy;France
Eaubonne;France
Caen;France
Pantin;France
Cachan;France
Mandelieu;France
Puteaux;France
Eze;France
Evry;France
Sarcelles;France
Bordeaux;France
Luzarches;France
Genneville;France
Lille;France
Louveciennes;France
Goussainville;France
Clichy;France
Bougival;France
Creteil;France
Beausoleil;France
Corsica;France
Carcassonne;France
Saclay;France
Picardie;France
Asnieres;France
Montargis;France
Nice;France
Poissy;France
Arles;France
Toulouse;France
Montlucon;France
Serris;France
Alfortville;France
Bron;France
Amilly;France
Montreuil;France
Angers;France
Annecy;France
Morangis;France
Sevran;France
Annemasse;France
Lognes;France
Narbonne;France
Draveil;France
Briancon;France
Plaisir;France
Deauville;France
Villepinte;France
Lourdes;France
Montevrain;France
Lyon;France
Valfrejus;France
Vanves;France
Montbeliard;France
Cannes;France
Ecouen;France
Belfort;France
Monaco;France
Tours;France
Guyancourt;France
Fresnes;France
Nantes;France
Pau;France
Montrouge;France
Villejuif;France
Gonesse;France
Linas;France
Clamart;France
Meudon;France
Montpellier;France
Limoges;France
Torcy;France
Suresnes;France
Biarritz;France
Montbazon;France
Marseille;France
Colmar;France
Cherbourg;France
Vincennes;France
Versailles;France
Courbevoie;France
Bezons;France
Orly;France
Rouen;France
Paris;France
Neuss;Germany
Potsdam;Germany
Schoenefeld;Germany
Stuttgart;Germany
Rothenburg;Germany
Sulzbach;Germany
Hanau;Germany
Augsburg;Germany
Bonn;Germany
Braunschweig;Germany
Cologne;Germany
Duesseldorf;Germany
Eching;Germany
Eschborn;Germany
Frechen;Germany
Hennigsdorf;Germany
Herzogenaurach;Germany
Dusseldorf;Germany
Koepenick;Germany
Leipzig;Germany
Liebenwalde;Germany
Celle;Germany
Langenhagen;Germany
Ludwigsfelde;Germany
Leverkusen;Germany
Kleinmachnow;Germany
Schwieberdingen;Germany
Offenbach;Germany
Langen;Germany
Hessen;Germany
Kaarst;Germany
Gerlingen;Germany
Feldkirchen;Germany
Dresden;Germany
Filderstadt;Germany
Erlangen;Germany
Duisburg;Germany
Ditzingen;Germany
Dortmund;Germany
Frankfurt;Germany
Berlin;Germany
Ismaning;Germany
Bremen;Germany
Ratingen;Germany
Unterschleissheim;Germany
Ostfildern;Germany
Munich;Germany
Ottobrunn;Germany
Hamburg;Germany
Ulm;Germany
Aschheim;Germany
Hanover;Germany
Parsdorf;Germany
Unterfoehring;Germany
Kelsterbach;Germany
Norderstedt;Germany
Hallbergmoos;Germany
Dietzenbach;Germany
Oberursel;Germany
Fussen;Germany
Haar;Germany
Offenburg;Germany
Nuremberg;Germany
Mettmann;Germany
Friedrichshafen;Germany
Fuerth;Germany
Gibraltar;Gibraltar
Kalamaki;Greece
Halkidiki;Greece
Roda;Greece
Kavos;Greece
Perama;Greece
Gouvia;Greece
Plakias;Greece
Lindos;Greece
Imerovigli;Greece
Kardamena;Greece
Lassi;Greece
Thessaloniki;Greece
Stalida;Greece
Rhodes;Greece
Rethymnon;Greece
Mastichari;Greece
Sifnos;Greece
Sitia;Greece
Sporades;Greece
Stalis;Greece
Svoronata;Greece
Thassos;Greece
Sidari;Greece
Tigaki;Greece
Trikala;Greece
Metamorfosi;Greece
Ixia;Greece
Psalidi;Greece
Pefkos;Greece
Piskopiano;Greece
Kremasti;Greece
Koutouloufari;Greece
Fanes;Greece
Dassia;Greece
Chora;Greece
Tholos;Greece
Matala;Greece
Antiparos;Greece
Cyclades;Greece
Milos;Greece
Kefalos;Greece
Kifissia;Greece
Glyfada;Greece
Gouves;Greece
Hersonissos;Greece
